ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP4,BRADESPAR,PN  ED  N1,250982988,3.357,23995629.51109152,10.459529219018318,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
BRKM5,BRASKEM,PNA     N1,265388400,2.405,23995629.51109152,11.059864042213576,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CBAV3,CBA,ON      NM,204441277,0.675,23995629.51109152,8.519938053948572,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CMIN3,CSNMINERACAO,ON      N2,1646519336,8.22,23995629.51109152,68.61746782841968,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
DXCO3,DEXCO,ON      NM,301760723,1.353,23995629.51109152,12.575653531428166,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
FESA4,FERBASA,PN      N1,160583300,0.954,23995629.51109152,6.692189505833696,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
GGBR4,GERDAU,PN      N1,1308152318,16.268,23995629.51109152,54.51627419882157,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
GOAU4,GERDAU MET,PN      N1,623866944,4.351,23995629.51109152,25.99919054891348,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
RANI3,IRANI,ON  ED  NM,106179855,0.656,23995629.51109152,4.424966427778875,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
KLBN11,KLABIN S/A,UNT     N2,765785673,11.586,23995629.51109152,31.91354795030613,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
CSNA3,SID NACIONAL,ON,727459637,5.533,23995629.51109152,30.316338925959236,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
SUZB3,SUZANO S.A.,ON      NM,490850709,20,23995629.51109152,20.45583795887137,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
UNIP6,UNIPAR,PNB,50800579,2.255,23995629.51109152,2.117076319107128,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
USIM5,USIMINAS,PNA     N1,515193199,2.388,23995629.51109152,21.470293111579416,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
VALE3,VALE,ON      NM,459124103,20,23995629.51109152,19.133655267838616,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IMAT
