ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON  EJ,4386652506,19.012,16723362.62414062,262.30684609252864,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
AERI3,AERIS,ON      NM,227070796,0.077,16723362.62414062,13.578058498367861,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
ALPA4,ALPARGATAS,PN      N1,202765994,0.913,16723362.62414062,12.124714302810242,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BEEF3,MINERVA,ON      NM,260340982,1.007,16723362.62414062,15.567502053934467,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BRFS3,BRF SA,ON  ATZ NM,1076512610,2.661,16723362.62414062,64.37177941988924,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
BRKM5,BRASKEM,PNA     N1,265212486,1.881,16723362.62414062,15.858801364335585,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CAML3,CAMIL,ON      NM,100468497,0.248,16723362.62414062,6.007673173035849,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CSNA3,SID NACIONAL,ON  EJ,589695175,2.561,16723362.62414062,35.26175855020684,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CURY3,CURY S/A,ON      NM,120291325,0.455,16723362.62414062,7.193010622538093,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
CYRE3,CYRELA REALT,ON      NM,274142301,1.07,16723362.62414062,16.39277381955877,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
DIRR3,DIRECIONAL,ON      NM,82197695,0.384,16723362.62414062,4.915141580518348,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
DXCO3,DEXCO,ON  EB  NM,274863424,0.556,16723362.62414062,16.435894513417253,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
EMBR3,EMBRAER,ON      NM,734632205,3.138,16723362.62414062,43.92849820403576,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
EZTC3,EZTEC,ON      NM,94318339,0.378,16723362.62414062,5.639914718099155,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
GGBR4,GERDAU,PN      N1,1093112629,9.583,16723362.62414062,65.36440389219706,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
GOAU4,GERDAU MET,PN      N1,667194478,2.583,16723362.62414062,39.8959523270091,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
GRND3,GRENDENE,ON      NM,267727632,0.482,16723362.62414062,16.00919850972603,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
INTB3,INTELBRAS,ON  EJ  NM,114530513,1.041,16723362.62414062,6.848533729375224,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
JBSS3,JBS,ON      NM,1134986483,7.45,16723362.62414062,67.86831742568428,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
JHSF3,JHSF PART,ON      NM,299019330,0.448,16723362.62414062,17.880335236428923,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
KEPL3,KEPLER WEBER,ON,89295802,0.537,16723362.62414062,5.339584149846702,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
KLBN11,KLABIN S/A,UNT EJ  N2,701899756,4.184,16723362.62414062,41.97120948551274,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
MDIA3,M.DIASBRANCO,ON      NM,69291942,0.741,16723362.62414062,4.143421604694216,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
MRFG3,MARFRIG,ON  ED  NM,316724584,0.822,16723362.62414062,18.939048989035232,JAN/2023 ATE ABR/2023,2023-02-25,CARTEIRA_TEORICA_B3_QUADRIMESTRE_INDX
