ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
BRAP4,BRADESPAR,PN  ED  N1,250992819,3.518,materiais_basicos,mineracao,minerais_metalicos,24507391.32609695,10.241515127427197,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
BRKM5,BRASKEM,PNA     N1,265877867,4.246,materiais_basicos,quimicos,petroquimicos,24507391.32609695,10.84888487159697,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CBAV3,CBA,ON      NM,204466658,0.742,materiais_basicos,mineracao,minerais_metalicos,24507391.32609695,8.34306088638131,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CMIN3,CSNMINERACAO,ON      N2,1110559345,3.986,OTHERS,OTHERS,OTHERS,24507391.32609695,45.31528183570519,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
CSNA3,SID NACIONAL,ON,600865451,5.932,OTHERS,OTHERS,OTHERS,24507391.32609695,24.517723775853785,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
DXCO3,DEXCO,ON      NM,302768240,1.642,materiais_basicos,madeira_e_papel,madeira,24507391.32609695,12.354160260116878,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
FESA4,FERBASA,PN      N1,160647500,0.916,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24507391.32609695,6.5550632404083276,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
GGBR4,GERDAU,PN      N1,1246339197,16.976,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24507391.32609695,50.85564515684796,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
GOAU4,GERDAU MET,PN      N1,660411219,5.225,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24507391.32609695,26.94743027572887,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
KLBN11,KLABIN S/A,UNT     N2,706747385,11.277,materiais_basicos,madeira_e_papel,papel_e_celulose,24507391.32609695,28.838131957660167,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
RANI3,IRANI,ON  ED  NM,106519537,0.671,materiais_basicos,embalagens,embalagens,24507391.32609695,4.346424945137738,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
SUZB3,SUZANO S.A.,ON      NM,478955852,19.634,materiais_basicos,madeira_e_papel,papel_e_celulose,24507391.32609695,19.54332248695841,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
UNIP6,UNIPAR,PNB,51110394,1.911,materiais_basicos,quimicos,quimicos_diversos,24507391.32609695,2.085509360009875,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
USIM3,USIMINAS,ON  ED  N1,161021803,0.855,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24507391.32609695,6.570336306195685,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
USIM5,USIMINAS,PNA ED  N1,515117391,2.855,materiais_basicos,siderurgia_e_metalurgia,siderurgia,24507391.32609695,21.018858520917806,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
VALE3,VALE,ON      NM,442404157,19.613,materiais_basicos,mineracao,minerais_metalicos,24507391.32609695,18.05186652113811,MAI/2024 ATE AGO/2024,2024-08-11,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IMAT
