ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALUP11,ALUPAR,UNT     N2,7000,6.673,36.64475717,191.02323335166477,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
AURE3,AUREN,ON      NM,21600,6.642,36.64475717,589.4431200565656,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
CMIG4,CEMIG,PN  EJ  N1,16800,6.656,36.64475717,458.45576004399544,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
COCE5,COELCE,PNA,7700,6.685,36.64475717,210.12555668683123,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
CPLE6,COPEL,PNB     N2,20500,6.663,36.64475717,559.4251833870183,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
CPFE3,CPFL ENERGIA,ON      NM,5900,6.628,36.64475717,161.00529668211743,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
ELET3,ELETROBRAS,ON  ED  N1,5500,6.686,36.64475717,150.0896833477366,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
ENGI11,ENERGISA,UNT     N2,5200,6.703,36.64475717,141.90297334695097,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
ENEV3,ENEVA,ON      NM,19500,6.658,36.64475717,532.1361500510661,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
EGIE3,ENGIE BRASIL,ON  EJ  NM,5300,6.701,36.64475717,144.63187668054618,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
EQTL3,EQUATORIAL,ON      NM,7000,6.688,36.64475717,191.02323335166477,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
ISAE4,ISA ENERGIA,PN      N1,8100,6.632,36.64475717,221.04117002121208,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
NEOE3,NEOENERGIA,ON      NM,9800,6.633,36.64475717,267.43252669233067,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
SRNA3,SERENA,ON      NM,35200,6.645,36.64475717,960.5739734255142,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
TAEE11,TAESA,UNT     N2,5700,6.709,36.64475717,155.547490014927,OTHERS,2025-01-12,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_IEEX
