ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABCB4,ABC BRASIL,PN      N2,115052073,0.424,financeiro,intermediarios_financeiros,bancos,63813299.17409416,1.8029482018492295,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
AGRO3,BRASILAGRO,ON      NM,103373073,0.499,consumo_nao_ciclico,agropecuaria,agricultura,63813299.17409416,1.6199299258604332,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
ALUP11,ALUPAR,UNT     N2,252050152,1.419,utilidade_publica,energia_eletrica,energia_eletrica,63813299.17409416,3.9498060006639344,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
AURE3,AUREN,ON      NM,522550141,1.434,utilidade_publica,energia_eletrica,energia_eletrica,63813299.17409416,8.18873413164847,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
B3SA3,B3,ON      NM,985914193,2.525,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,63813299.17409416,15.449979953398879,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBAS3,BRASIL,ON      NM,441736477,4.134,financeiro,intermediarios_financeiros,bancos,63813299.17409416,6.922326266110508,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BBSE3,BBSEGURIDADE,ON      NM,573693332,3.513,financeiro,previdencia_e_seguros,seguradoras,63813299.17409416,8.990184482310832,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BEEF3,MINERVA,ON      NM,451720888,0.763,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,63813299.17409416,7.078789121490555,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BRAP4,BRADESPAR,PN      N1,434359310,2.026,materiais_basicos,mineracao,minerais_metalicos,63813299.17409416,6.806720787386179,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
BRSR6,BANRISUL,PNB     N1,349889871,0.867,financeiro,intermediarios_financeiros,bancos,63813299.17409416,5.483024315126499,SET/2023 ATE DEZ/2023,2023-12-30,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IDIV
