ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,752932330,1.053,OTHERS,OTHERS,OTHERS,195280920.06954944,3.8556369446223555,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
AMBP3,AMBIPAR,ON      NM,101845280,0.403,utilidade_publica,agua_e_saneamento,agua_e_saneamento,195280920.06954944,0.5215321597405815,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
AMER3,AMERICANAS,ON      NM,1164086936,2.71,OTHERS,OTHERS,OTHERS,195280920.06954944,5.961088956286203,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ARZZ3,AREZZO CO,ON      NM,140184174,1.894,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,195280920.06954944,0.7178590409655654,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
AZUL4,AZUL,PN      N2,760971580,1.815,bens_industriais,transporte,transporte_aereo,195280920.06954944,3.896804560983118,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BBDC4,BRADESCO,PN  EJ  N1,1044867150,2.872,financeiro,intermediarios_financeiros,bancos,195280920.06954944,5.350584940033413,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BBAS3,BRASIL,ON      NM,437680660,2.665,financeiro,intermediarios_financeiros,bancos,195280920.06954944,2.2412873712604373,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BRKM5,BRASKEM,PNA     N1,615968779,2.696,materiais_basicos,quimicos,petroquimicos,195280920.06954944,3.1542701600372545,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BRFS3,BRF SA,ON      NM,1184737504,2.703,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,195280920.06954944,6.066836962761415,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BPAC11,BTGP BANCO,UNT     N2,757826275,2.805,OTHERS,OTHERS,OTHERS,195280920.06954944,3.8806979951246627,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CCRO3,CCR SA,ON      NM,1397209242,2.772,bens_industriais,transporte,exploracao_de_rodovias,195280920.06954944,7.1548681842669675,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CMIG4,CEMIG,PN      N1,1563603357,2.726,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,8.006943824532993,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CIEL3,CIELO,ON      NM,2544005719,1.987,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,195280920.06954944,13.027415674270433,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CPLE6,COPEL,PNB     N2,2819183482,2.879,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,14.436553663286437,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CSAN3,COSAN,ON      NM,978712201,2.769,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,195280920.06954944,5.011816825993194,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CPFE3,CPFL ENERGIA,ON      NM,436002118,2.236,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,2.232691846416524,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
DXCO3,DEXCO,ON      NM,638364722,0.928,OTHERS,OTHERS,OTHERS,195280920.06954944,3.268955931652954,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ECOR3,ECORODOVIAS,ON      NM,774828247,0.655,bens_industriais,transporte,exploracao_de_rodovias,195280920.06954944,3.967762169105125,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ELET3,ELETROBRAS,ON      N1,358671450,2.415,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,1.836694797793143,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ENBR3,ENERGIAS BR,ON      NM,571389809,1.886,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,2.9259889230166425,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
EGIE3,ENGIE BRASIL,ON      NM,494395289,2.905,utilidade_publica,energia_eletrica,energia_eletrica,195280920.06954944,2.531713230478025,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
FLRY3,FLEURY,ON      NM,704598420,1.64,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,195280920.06954944,3.608127305775991,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
NTCO3,GRUPO NATURA,ON      NM,1446974414,3.004,consumo_nao_ciclico,produtos_de_uso_pessoal_e_de_limpeza,produtos_de_uso_pessoal,195280920.06954944,7.409707069613657,PRÉ/IA - ATE PRÉ/IA - - 20220902,2022-09-24,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
