ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALOS3,ALLOS,ON  EJ  NM,440519769,19.355,OTHERS,OTHERS,OTHERS,47474066.91809728,9.27916645017982,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
CURY3,CURY S/A,ON      NM,133117425,7.89,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,2.804002977660529,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
CYRE3,CYRELA REALT,ON      NM,257174951,13.048,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,5.417167049195105,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
DIRR3,DIRECIONAL,ON      NM,108541907,8.719,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,2.28634102882438,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
EVEN3,EVEN,ON      NM,189773600,2.557,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,3.9974161119880303,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
EZTC3,EZTEC,ON  ED  NM,95300871,2.526,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,2.0074301020895047,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
GFSA3,GAFISA,ON      NM,120371187,0.306,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,2.535514541184465,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
IGTI11,IGUATEMI S.A,UNT     N1,198474750,8.676,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47474066.91809728,4.180698281914852,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
JHSF3,JHSF PART,ON      NM,292921855,3.002,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,6.170144544501562,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
LAVV3,LAVVI,ON  ED  NM,73950129,1.686,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,1.5576952597631772,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
LOGG3,LOG COM PROP,ON      NM,47768612,2.028,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47474066.91809728,1.0062043364098314,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
MDNE3,MOURA DUBEUX,ON  ED  NM,51943755,1.927,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,1.0941500986130779,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
MRVE3,MRV,ON      NM,375507695,3.901,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,7.909743558474346,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
MULT3,MULTIPLAN,ON      N2,314311970,16.536,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47474066.91809728,6.620708744887057,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
PLPL3,PLANOEPLANO,ON      NM,54539741,1.577,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,1.1488322897234082,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
SYNE3,SYN PROP TEC,ON      NM,59381237,0.767,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,47474066.91809728,1.2508141993068571,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
TEND3,TENDA,ON      NM,120609176,5.499,consumo_ciclico,construcao_civil,incorporacoes,47474066.91809728,2.5405275728341565,2025-05-27,2025-05-27,CARTEIRA_TEORICA_B3_IMOB
